UASG;Número do Pregão;Ano do Pregão;Número do Item;QUANTIDADE
160192;00024;2022;00059;30
160192;00024;2022;00057;50
160192;00024;2022;00132;10
160192;00024;2022;00131;30
160217;00001;2023;00007;48
160217;00001;2023;00048;158
160217;00001;2023;00090;43
160217;00001;2023;00091;200
160217;00001;2023;00043;5
160217;00001;2023;00014;240
160217;00001;2023;00036;60
160217;00001;2023;00092;10
160217;00001;2023;00057;158
160217;00001;2023;00057;-158
160217;00001;2023;00077;60
160192;00006;2023;00003;15
160192;00006;2023;00101;15
160192;00006;2023;00149;200
160206;00001;2023;00003;1
160206;00001;2023;00012;4
160206;00001;2023;00025;1
160206;00001;2023;00033;1
160206;00001;2023;00044;1
160206;00001;2023;00051;3
160192;00006;2023;00027;120
160192;00006;2023;00021;13
160433;00002;2023;00006;3
160433;00002;2023;00019;7
160192;00006;2023;00048;3
160192;00006;2023;00053;10
160192;00006;2023;00078;30
160192;00006;2023;00104;5
160192;00006;2023;00107;5
160192;00006;2023;00108;5
160192;00006;2023;00109;5
160192;00006;2023;00118;300
160192;00006;2023;00016;41
160212;00006;2023;00001;5800
160212;00006;2023;00002;5800
160212;00006;2023;00003;5800
160212;00006;2023;00004;5800
160212;00006;2023;00006;12
160212;00006;2023;00007;12
160192;00006;2023;00039;500
160192;00006;2023;00039;-500
160192;00006;2023;00039;500
160217;00001;2023;00011;5
160217;00001;2023;00015;30
160217;00001;2023;00019;132
160217;00001;2023;00022;140
160217;00001;2023;00030;24
160217;00001;2023;00076;146
160217;00001;2023;00087;15
160192;00006;2023;00017;2
160192;00006;2023;00010;60
160192;00006;2023;00026;47
160192;00006;2023;00030;10
160192;00006;2023;00050;6
160192;00006;2023;00034;6
160192;00006;2023;00064;1
160192;00006;2023;00065;3
160212;00006;2023;00005;220
160217;00005;2023;00001;2500
168005;00019;2023;00001;2
168005;00019;2023;00002;1483
160192;00006;2023;00037;17
160192;00006;2023;00144;50
160192;00006;2023;00150;50
160192;00008;2023;00211;1000
160192;00008;2023;00207;2000
160192;00008;2023;00207;-1500
795400;00004;2023;00032;1
160028;00006;2022;00059;3
160517;00014;2022;00005;3
160192;00008;2023;00139;100
160192;00008;2023;00195;150
160192;00008;2023;00088;486
160192;00008;2023;00088;-486
160192;00008;2023;00092;200
160192;00008;2023;00092;-200
160192;00008;2023;00102;300
160192;00008;2023;00102;-300
160192;00008;2023;00103;30
160192;00008;2023;00103;-30
160192;00008;2023;00119;300
160192;00008;2023;00119;-300
160192;00008;2023;00128;20
160192;00008;2023;00128;-20
160192;00008;2023;00129;100
160192;00008;2023;00129;-100
160192;00008;2023;00143;100
160192;00008;2023;00143;-100
160192;00008;2023;00147;150
160192;00008;2023;00147;-150
160192;00008;2023;00085;300
160192;00008;2023;00085;-300
160192;00008;2023;00106;200
160192;00008;2023;00106;-200
160192;00008;2023;00131;300
160192;00008;2023;00131;-300
160192;00008;2023;00141;80
160192;00008;2023;00141;-80
160192;00008;2023;00161;250
160192;00008;2023;00161;-250
160192;00008;2023;00163;50
160192;00008;2023;00163;-50
160192;00008;2023;00069;150
160192;00008;2023;00073;300
160192;00008;2023;00075;500
160192;00008;2023;00089;100
160192;00008;2023;00090;500
160192;00008;2023;00116;621
160192;00008;2023;00122;70
160192;00008;2023;00123;100
160192;00008;2023;00126;120
160192;00008;2023;00165;50
160192;00008;2023;00173;150
160192;00008;2023;00174;150
160192;00008;2023;00187;70
160192;00008;2023;00191;100
160192;00008;2023;00196;100
160192;00008;2023;00203;100
160192;00008;2023;00215;100
160192;00008;2023;00164;50
160192;00008;2023;00172;50
160192;00008;2023;00190;10
160192;00008;2023;00004;200
160192;00008;2023;00015;300
160192;00008;2023;00023;300
160192;00008;2023;00034;300
160192;00008;2023;00049;200
160192;00008;2023;00053;20
160192;00008;2023;00055;200
160192;00008;2023;00061;300
160192;00008;2023;00013;80
160192;00008;2023;00016;500
160192;00008;2023;00026;150
160192;00008;2023;00041;100
160192;00008;2023;00043;250
160192;00008;2023;00052;50
160192;00008;2023;00133;100
160192;00008;2023;00148;200
160192;00008;2023;00149;100
160192;00008;2023;00134;150
160192;00008;2023;00152;50
160192;00008;2023;00137;150
160192;00008;2023;00153;600
160192;00008;2023;00202;600
160192;00008;2023;00193;400
160192;00008;2023;00193;-400
160192;00008;2023;00109;20
160192;00008;2023;00124;100
160192;00008;2023;00125;50
160192;00008;2023;00162;50
160192;00008;2023;00189;100
154052;00120;2023;00130;50
160192;00008;2023;00104;100
160192;00008;2023;00146;150
160192;00008;2023;00197;150
160192;00008;2023;00022;200
160192;00008;2023;00067;15
160192;00008;2023;00067;-15
160192;00008;2023;00070;30
160192;00008;2023;00070;-30
160192;00008;2023;00086;100
160192;00008;2023;00086;-100
160192;00008;2023;00098;15
160192;00008;2023;00098;-15
160192;00008;2023;00113;5
160192;00008;2023;00113;-5
160192;00008;2023;00084;15
160192;00008;2023;00084;-15
160192;00008;2023;00108;20
160192;00008;2023;00110;20
160192;00008;2023;00085;300
160192;00008;2023;00088;486
160192;00008;2023;00092;200
160192;00008;2023;00102;300
160192;00008;2023;00147;150
160192;00008;2023;00103;30
160192;00008;2023;00106;200
160192;00008;2023;00143;100
160192;00008;2023;00119;300
160192;00008;2023;00128;20
160192;00008;2023;00129;100
160192;00008;2023;00131;300
160192;00008;2023;00141;80
160192;00008;2023;00163;50
160192;00008;2023;00161;250
160192;00008;2023;00035;300
160192;00008;2023;00009;100
160192;00008;2023;00010;100
160192;00008;2023;00011;100
160224;00002;2017;00001;6.9125
160224;00002;2017;00001;3.4125
160224;00002;2017;00001;0.05625
160224;00004;2015;00001;12.675
160224;00010;2017;14982;0.13171
160224;00010;2017;14982;0.24
160214;00008;2020;00009;714.28571
160214;00008;2020;00009;827.04762
160214;00008;2020;00009;-1538.09524
160214;00008;2020;00009;250.7619
160214;00008;2020;00010;148.93617
160214;00008;2020;00010;369.53191
160214;00008;2020;00010;-510.6383
160214;00008;2020;00010;111.97872
160214;00008;2020;00012;166.66667
160214;00008;2020;00012;578.93333
160214;00008;2020;00012;-733.33333
160214;00008;2020;00012;175.43333
160214;00008;2020;00014;2348
160214;00008;2020;00014;17368
160214;00008;2020;00014;-19000
160214;00008;2020;00014;5263
160214;00008;2020;00015;2348
160214;00008;2020;00015;17368
160214;00008;2020;00015;-19000
160214;00008;2020;00015;5263
160214;00008;2020;00004;875
160214;00008;2020;00004;2171
160214;00008;2020;00004;-3000
160214;00008;2020;00004;657.875
160214;00008;2020;00013;5000
160214;00008;2020;00013;17368
160214;00008;2020;00013;-22000
160214;00008;2020;00013;5263
160214;00008;2020;00017;293.5
160214;00008;2020;00017;2171
160214;00008;2020;00017;-1887.5
160214;00008;2020;00017;657.875
160214;00008;2020;00018;293.5
160214;00008;2020;00018;2172
160214;00008;2020;00018;-57
160214;00008;2020;00018;657.875
160214;00008;2020;00003;22.02643
160214;00008;2020;00003;38.25551
160214;00008;2020;00003;-59.47137
160214;00008;2020;00003;11.59251
160214;00008;2020;00011;121.95122
160214;00008;2020;00011;423.60976
160214;00008;2020;00011;-543.90244
160214;00008;2020;00011;128.36585
160214;00008;2020;00019;0.3633
160214;00008;2020;00019;2.6873
160214;00008;2020;00019;-2.93982
160214;00008;2020;00019;0.81433
160214;00008;2020;00001;30.62787
160214;00008;2020;00001;26.59724
160214;00008;2020;00001;-56.66156
160214;00008;2020;00001;8.05972
160214;00008;2020;00016;2348
160214;00008;2020;00016;17368
160214;00008;2020;00016;-19000
160214;00008;2020;00016;5263
160214;00008;2020;00002;28.03738
160214;00008;2020;00002;32.46355
160214;00008;2020;00002;-59.81308
160214;00008;2020;00002;9.83738
160214;00008;2020;00005;937.5
160214;00008;2020;00005;2171
160214;00008;2020;00005;-3000
160214;00008;2020;00005;657.875
160214;00008;2020;00006;1000
160214;00008;2020;00006;2171
160214;00008;2020;00006;-3125
160214;00008;2020;00006;657.875
160214;00008;2020;00007;357.25
160214;00008;2020;00007;620.28571
160214;00008;2020;00007;-964.28571
160214;00008;2020;00007;187.96429
160214;00008;2020;00008;212.5
160214;00008;2020;00008;434.2
160214;00008;2020;00008;-625
160214;00008;2020;00008;131.575
160192;00008;2023;00193;400
168005;00019;2023;00002;1500
168005;00019;2023;00002;-456.25
160379;00003;2023;00036;100
160379;00003;2023;00041;100
160379;00003;2023;00042;50
160379;00003;2023;00102;50
160524;00003;2023;00124;300
160207;00008;2023;00051;600
160207;00008;2023;00197;400
160207;00008;2023;00197;-400
153038;00055;2022;00012;1
160202;00041;2022;00003;1
160214;00002;2023;00044;4
160214;00002;2023;00016;3
160214;00002;2023;00042;3
160214;00002;2023;00066;6
160214;00002;2023;00009;10
160214;00002;2023;00018;5
160209;00025;2023;00287;10
160209;00025;2023;00289;10
160209;00025;2023;00290;15
160209;00025;2023;00295;3
160209;00025;2023;00048;4
160209;00025;2023;00015;20
160209;00025;2023;00029;6
160209;00025;2023;00031;10
160209;00025;2023;00084;2
160209;00025;2023;00164;4
160209;00025;2023;00164;-4
160209;00025;2023;00178;10
160209;00025;2023;00237;2
160192;00008;2023;00002;50
160192;00008;2023;00007;300
160192;00008;2023;00014;250
160192;00008;2023;00019;100
160192;00008;2023;00020;100
160192;00008;2023;00024;40
160192;00008;2023;00028;50
160192;00008;2023;00038;100
160192;00008;2023;00039;100
160192;00008;2023;00042;100
160192;00008;2023;00058;15
160192;00008;2023;00111;20
160192;00008;2023;00115;20
160192;00008;2023;00180;350
160192;00008;2023;00183;350
160192;00008;2023;00094;100
160192;00008;2023;00182;70
160192;00008;2023;00184;70
160211;00004;2023;00012;10
160447;00034;2022;00180;15
160447;00034;2022;00187;3
160447;00034;2022;00194;30
160447;00034;2022;00230;225
160447;00034;2022;00242;200
160447;00034;2022;00354;80
160447;00034;2022;00444;30
160447;00034;2022;00595;30
160517;00013;2022;00023;30
160192;00008;2023;00181;80
160192;00008;2023;00211;1500
785800;00009;2022;00242;20
160204;00016;2023;00045;4
160204;00016;2023;00084;20
160023;00007;2022;00002;15
160041;00017;2023;00112;2
160103;00003;2023;00014;2
160473;00002;2023;00089;4
160473;00002;2023;00089;-4
160211;00001;2023;00001;602
160433;00002;2023;00019;4
158009;00013;2023;00081;5
160217;00005;2023;00004;20
160224;00003;2023;00001;50018
160224;00003;2023;00001;50018
070011;00040;2023;00001;2
160213;00010;2022;00022;10
160213;00010;2022;00043;10
160213;00010;2022;00044;10
160213;00010;2022;00017;11
160213;00010;2022;00019;11
160129;00023;2023;00036;700
160192;00006;2023;00045;10
160192;00006;2023;00127;25
160224;00003;2023;00005;6
160222;90019;2024;00007;3
160212;00004;2023;00003;6000
160212;00004;2023;00003;-81.95
158425;00018;2023;00051;30
160212;00004;2023;00005;2500
160212;00004;2023;00007;2500
160212;00004;2023;00006;4200
160212;00004;2023;00014;8800
160212;00004;2023;00014;-94.1425
160211;00003;2023;00002;100
160211;00003;2023;00002;-100
160211;00003;2023;00005;20
160211;00003;2023;00007;50
160211;00003;2023;00008;3
160211;00003;2023;00009;3
160211;00003;2023;00010;3
160211;00003;2023;00012;3
160211;00003;2023;00034;1
160212;00004;2023;00021;8038
160212;00004;2023;00022;8000
160212;00004;2023;00023;6700
160211;00003;2023;00035;92
160165;00002;2023;00065;7
160211;00003;2023;00051;10
160222;00016;2023;00001;50
160222;00016;2023;00003;50
160222;00016;2023;00006;1
160217;00004;2023;00046;10
160217;00004;2023;00062;4
160192;00006;2023;00084;10
160410;00006;2023;00003;160
160222;90019;2024;00013;1
153080;00005;2023;00055;180
160219;00010;2023;00001;2
160219;00010;2023;00002;1333
160219;00010;2023;00002;-35.81
160518;00056;2023;00001;592
160518;00056;2023;00002;296
160356;00003;2023;00117;1
195012;00004;2023;00005;2
160192;00006;2023;00131;10
160224;00002;2017;00001;5.11875
160217;00001;2023;00001;120
160217;00001;2023;00001;-120
160217;00001;2023;00057;80
160217;00001;2023;00057;-80
160228;00003;2023;00020;70
160228;00003;2023;00067;15
160391;00001;2023;00026;50
160157;00008;2023;00094;7
160202;00019;2023;00312;10
160202;00019;2023;00328;15
160123;00009;2023;00141;5
160005;00008;2023;00125;20
160129;00006;2023;00051;30
160224;00004;2015;00001;18
160232;00004;2022;00059;40
160232;00004;2022;00006;150
160224;00011;2023;00001;54
160224;00011;2023;00002;54
160224;00011;2023;00003;54
160224;00011;2023;00006;1500
160224;00011;2023;00004;220
160224;00011;2023;00010;120
160224;00011;2023;00013;120
160224;00011;2023;00005;120
160224;00011;2023;00008;240
160224;00011;2023;00009;240
160224;00011;2023;00007;54
160224;00011;2023;00021;54
160224;00011;2023;00030;10
160224;00011;2023;00031;20
160224;00011;2023;00032;10
160224;00011;2023;00022;54
160224;00004;2023;00003;30
160224;00004;2023;00004;50
160224;00004;2023;00005;85
160224;00004;2023;00005;2
160224;00004;2023;00006;20
160224;00004;2023;00007;130
160224;00004;2023;00007;-0.00651
160192;00008;2023;00123;176
160192;00008;2023;00191;60
160217;00001;2023;00076;56
160224;90002;2024;00001;296
160224;90002;2024;00002;400
160192;00006;2023;00072;8
160224;00003;2023;00011;600
160224;00009;2023;00002;7
160224;00009;2023;00005;1
160224;00009;2023;00008;2
784810;00008;2023;00008;1
160167;00007;2023;00019;500
160113;00007;2023;00016;2
160192;00006;2023;00071;10
160192;00006;2023;00128;4
160165;00002;2023;00054;15
160224;00005;2023;00005;3
160224;00005;2023;00002;3
160224;00005;2023;00004;15
160224;00005;2023;00001;3
160192;00006;2023;00021;13
160224;00005;2023;00003;15
160224;00005;2023;00012;2
160217;00001;2023;00022;150
160217;00001;2023;00035;10
160217;00001;2023;00055;60
160224;90001;2024;00005;3
160224;90001;2024;00011;22
160224;00002;2023;00003;2
160192;00006;2023;00119;6
160192;00006;2023;00097;2
160192;90002;2024;00005;1
160192;90002;2024;00015;290
160192;00008;2023;00202;300
160211;00003;2023;00037;17
160224;00002;2023;00001;2
160224;00002;2023;00002;1
160224;00005;2023;00011;6
160224;00002;2023;00020;5
160224;90001;2024;00009;6
160191;00001;2023;00024;2
160192;00006;2023;00149;100
160234;00019;2023;00043;150
160224;00009;2023;00002;1
160224;00002;2017;00001;1.6875
160224;00009;2023;00002;2
160224;00002;2017;00001;0.01875
160192;00013;2023;00097;10
160192;00013;2023;00130;5
160192;00013;2023;00058;30
160192;00013;2023;00087;5
160192;00013;2023;00149;5
160192;00013;2023;00149;-5
160192;00013;2023;00150;2
160192;00013;2023;00150;-2
160192;00013;2023;00129;2
160192;00013;2023;00131;5
160192;00013;2023;00132;5
160192;00013;2023;00135;40
160192;00013;2023;00133;3
160224;00010;2023;00003;10
160224;00010;2023;00004;10
160224;00010;2023;00014;10
160224;00010;2023;00015;10
160224;00010;2023;00019;10
160224;00010;2023;00020;10
160224;00010;2023;00021;10
160224;00010;2023;00023;10
160224;00010;2023;00024;10
160224;00010;2023;00025;10
160224;00010;2023;00026;10
160224;00010;2023;00029;10
160224;00010;2023;00030;10
160224;00010;2023;00031;10
160224;00010;2023;00032;10
160224;00010;2023;00033;10
160224;00010;2023;00066;10
160224;00010;2023;00069;10
160224;00010;2023;00070;10
160224;00010;2023;00071;10
160224;00010;2023;00072;10
160224;00010;2023;00075;10
160224;00010;2023;00017;10
160224;00010;2023;00022;10
160224;00010;2023;00027;10
160224;00010;2023;00034;10
160224;00010;2023;00035;10
160224;00010;2023;00036;10
160224;00010;2023;00037;10
160224;00010;2023;00038;10
160224;00010;2023;00040;10
160224;00010;2023;00041;10
160192;00008;2023;00202;100
160212;00009;2023;00001;40000
160224;00010;2023;00001;15
160224;00010;2023;00048;100
160224;00010;2023;00049;200
160224;00010;2023;00047;20
160224;00010;2023;00051;60
160224;00010;2023;00052;100
160224;00010;2023;00060;100
160224;00010;2023;00083;50
160224;00010;2023;00091;50
160224;00010;2023;00096;10
160211;00003;2023;00038;30
160224;00010;2023;00006;10
160224;00010;2023;00010;10
160224;00010;2023;00011;10
160224;00010;2023;00012;10
160224;00010;2023;00013;10
160209;00016;2023;00209;15
160077;00003;2023;00004;3
160224;00008;2023;00001;9
160165;00002;2023;00033;1
160165;00002;2023;00063;5
160192;90002;2024;00018;203
160209;00016;2023;00079;50
160403;00001;2023;00014;120
160224;00008;2023;00005;300
160224;00008;2023;00002;20
160224;00008;2023;00003;20
160002;00011;2023;00149;6
160002;00011;2023;00155;4
160165;00002;2023;00052;10
160165;00002;2023;00104;602
160165;00002;2023;00120;4
160165;00002;2023;00118;501
160224;90006;2024;00001;2
160211;00003;2023;00058;2
160224;00011;2023;00023;2
160224;00011;2023;00027;5
160212;00009;2023;00002;30000
158145;00002;2023;00072;22
160192;00013;2023;00109;1
120636;00013;2023;00062;1
153031;00170;2023;00003;100
160165;00002;2023;00008;6
160204;00036;2022;00136;1
160211;00001;2024;00001;498
160224;00003;2023;00001;100
160224;00003;2023;00003;40
160224;00003;2023;00004;15
160224;00003;2023;00007;50
160224;00003;2023;00015;100
160224;00003;2023;00018;20
160223;00008;2023;00018;1
160223;00008;2023;00018;-1
160224;90001;2024;00001;2
160224;00003;2023;00009;100
160224;00003;2023;00010;1000
160224;00003;2023;00011;1000
160224;00003;2023;00024;20
160224;90001;2024;00014;2
160224;00003;2023;00014;1000
160224;00003;2023;00028;1
160224;00011;2023;00024;3
160224;00003;2023;00022;15
160224;00003;2023;00019;20
160224;00003;2023;00020;20
160224;90001;2024;00012;500
160455;00001;2023;00041;40
160212;00006;2023;00006;11
160192;00006;2023;00033;150
160192;00006;2023;00058;20
160192;00006;2023;00068;300
160192;00006;2023;00031;250
160222;90019;2024;00003;1
160224;00001;2024;00001;1
160033;00002;2023;00151;50
160145;00007;2023;00121;50
160217;00001;2023;00006;30
160211;00002;2023;00110;1
160192;00006;2023;00050;3
160192;00006;2023;00103;3
160192;00006;2023;00122;10
160192;00006;2023;00124;8
160224;00002;2024;00001;2
160192;00006;2023;00006;2
160192;00006;2023;00062;3
160192;00006;2023;00077;9
160192;00006;2023;00014;15
160192;00006;2023;00044;16
160192;00013;2023;00083;20
160224;90001;2024;00010;1
160217;00001;2023;00059;10
160192;00006;2023;00009;3
160315;00007;2022;00071;15
160217;00005;2023;00004;25
160224;90070;2024;00001;390
160212;00003;2023;00005;30
160212;00003;2023;00006;100
160212;00003;2023;00007;12
160209;00016;2023;00080;28
160223;00008;2023;00071;1
160212;00006;2023;00007;104
160213;00003;2023;00001;10
160213;00003;2023;00002;9
160213;00003;2023;00009;6
160213;00003;2023;00015;10
160224;00003;2024;00001;1
160455;00001;2023;00041;46
160224;00002;2023;00017;1
160212;00003;2023;00001;50
160212;00003;2023;00002;10
160212;00003;2023;00010;50
160212;00003;2023;00011;100
160212;00003;2023;00012;100
160212;00003;2023;00013;100
160212;00003;2023;00014;100
160212;00003;2023;00015;100
160212;00003;2023;00019;100
160212;00003;2023;00024;10
160212;00003;2023;00016;100
160212;00003;2023;00017;100
160212;00003;2023;00018;100
160212;00003;2023;00020;100
160212;00003;2023;00021;100
160212;00003;2023;00022;100
160212;00003;2023;00023;50
160212;00003;2023;00026;10
160212;00003;2023;00039;60
160212;00003;2023;00040;60
160212;00003;2023;00028;5
160212;00003;2023;00029;5
160212;00003;2023;00030;20
160212;00003;2023;00031;20
160192;00006;2023;00014;7
160192;00006;2023;00056;2
160212;00003;2023;00033;20
160212;00003;2023;00047;500
160212;00003;2023;00043;50
160224;90011;2024;00001;1
160224;90011;2024;00001;-1
